City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
489,matoury,4.8483,-52.3317,24.98,100,75,0.51,GF,1723271097
490,niafunke,15.9322,-3.9906,30.16,56,89,3.96,ML,1723271099
491,urangan,-25.3,152.9,19.14,77,6,8.25,AU,1723271100
492,palapye,-22.546,27.1251,19.43,9,0,1.84,BW,1723271101
493,celestun,20.8667,-90.4,25.05,92,100,3.51,MX,1723271102
494,iwanai,42.9744,140.5089,29.57,61,71,2.81,JP,1723271104
495,diego de almagro,-26.3667,-70.05,12.37,12,1,1.72,CL,1723271105
496,fort mcmurray,56.7268,-111.381,16.77,59,0,3.09,CA,1723271106
497,vilyuysk,63.7553,121.6247,23.52,42,75,3.81,RU,1723271107
498,stiens,53.2623,5.7577,18.88,99,75,2.06,NL,1723271108
499,minas de marcona,-15.2119,-75.1103,9.44,91,50,5.31,PE,1723271110
500,kudahuvadhoo,2.6708,72.8944,28.44,70,99,2.69,MV,1723271111
501,biltine,14.5333,20.9167,25.0,82,87,3.62,TD,1723271112
502,hailey,43.5196,-114.3153,14.92,58,0,3.09,US,1723271113
503,luanda,-8.8368,13.2343,18.84,89,4,1.61,AO,1723271114
504,livani,56.3543,26.1758,15.66,97,100,3.79,LV,1723271115
505,chemodanovka,53.2316,45.2474,19.34,72,40,3.88,RU,1723271116
506,jinan,36.6683,116.9972,35.63,43,13,5.42,CN,1723271104
507,yemetsk,63.4721,41.7941,19.95,57,62,1.66,RU,1723271119
508,beroroha,-21.6667,45.1667,24.62,52,0,2.08,MG,1723271120
509,warrnambool,-38.3833,142.4833,14.12,71,9,2.56,AU,1723271121
510,santana,-0.0583,-51.1817,26.1,94,0,1.54,BR,1723270958
511,la foa,-21.7108,165.8276,21.91,71,78,1.25,NC,1723271123
512,kingscliff,-28.2667,153.5667,20.89,68,20,5.66,AU,1723271124
513,yanbu,24.0891,38.0637,35.02,55,0,0.0,SA,1723271126
514,kolonia,50.9333,6.95,18.47,80,0,1.03,DE,1723271054
515,noyemberyan,41.1724,44.9992,23.71,54,56,2.86,AM,1723271128
516,kigoma,-4.8769,29.6267,25.77,52,14,2.69,TZ,1723271129
517,tyuratam,45.6507,63.3156,27.23,36,11,2.82,KZ,1723271132
518,esil,51.9556,66.4042,15.9,54,4,3.51,KZ,1723271134
519,cururupu,-1.8283,-44.8683,25.21,83,87,1.65,BR,1723271136
520,o barco de valdeorras,42.4164,-6.9901,20.9,70,0,1.91,ES,1723271137
521,taoudenni,22.6783,-3.9836,33.57,27,89,2.2,ML,1723271138
522,aral,40.5156,81.2636,36.11,14,5,5.09,CN,1723271140
523,tsiombe,-25.3,45.4833,23.16,62,0,0.8,MG,1723271141
524,basugaon,26.4667,90.4,30.34,78,94,2.92,IN,1723271142
525,aleksandrovskoye,44.7142,43.0008,24.47,41,75,1.77,RU,1723271143
526,gaspe,48.8334,-64.4819,17.12,94,100,4.63,CA,1723271144
527,malango,-2.9627,119.9001,27.48,52,59,2.39,ID,1723271145
528,minas,-34.3759,-55.2377,1.63,94,2,2.7,UY,1723271146
529,las palmas,28.4204,-14.0131,19.44,83,40,4.63,ES,1723271148
530,general conesa,-40.1,-64.4333,12.27,42,87,7.78,AR,1723271149
531,xining,36.6167,101.7667,25.19,24,6,2.68,CN,1723271150
532,poplar grove,42.3684,-88.8221,12.95,89,6,1.79,US,1723271152
533,houghton,47.1219,-88.569,12.71,95,100,6.69,US,1723271154
534,beira,-19.8436,34.8389,21.05,94,40,1.54,MZ,1723271155
535,marshfield,44.6689,-90.1718,11.97,87,100,3.6,US,1723271156
536,aromashevo,56.8602,68.6375,13.82,69,100,3.3,RU,1723271158
537,antsohihy,-14.8796,47.9875,27.17,42,22,2.83,MG,1723271159
538,cidreira,-30.1811,-50.2056,10.71,85,100,7.5,BR,1723271160
539,avlonas,37.3653,21.8026,27.48,42,0,0.75,GR,1723271162
540,rabaul,-4.1967,152.1721,25.63,80,100,3.62,PG,1723271163
541,addanki,15.8167,79.9833,34.71,47,57,3.91,IN,1723271165
542,mora,11.0461,14.1401,23.2,85,100,1.3,CM,1723271166
543,gotsucho,35.0,132.2167,30.29,63,13,6.83,JP,1723271167
544,lospalos,-8.5186,127.0025,25.49,53,46,4.84,TL,1723271168
545,jianshui,23.6363,102.8264,27.52,70,74,3.1,CN,1723271169
546,wagar,16.1525,36.2032,30.0,61,73,7.88,SD,1723271170
547,los osos,35.3111,-120.8324,15.13,99,75,2.57,US,1723271003
548,'ain el turk,35.7438,-0.7693,26.38,83,75,1.03,DZ,1723271173
549,puro,12.4841,123.3827,29.9,73,100,6.2,PH,1723271174
550,mogocha,53.7333,119.7667,23.03,46,63,3.34,RU,1723271175
551,kirensk,57.7853,108.1119,28.18,40,99,2.34,RU,1723271176
552,brigantine,39.4101,-74.3646,23.11,98,100,1.34,US,1723271177
553,yreka,41.7354,-122.6345,23.1,38,0,4.12,US,1723271178
554,neiafu,-18.65,-173.9833,22.38,78,75,3.09,TO,1723271179
555,dabola,10.75,-11.1167,22.17,98,100,1.16,GN,1723271180
556,kpandae,8.4689,-0.0113,21.78,95,97,2.86,GH,1723271181
557,barra do corda,-5.5,-45.25,22.03,58,52,0.23,BR,1723271182
558,molde,62.7375,7.1591,13.91,77,75,3.09,NO,1723271183
559,crane,31.3974,-102.3501,30.09,34,10,4.05,US,1723271185
560,leninskoye,41.7589,69.3864,31.49,21,33,4.43,KZ,1723271186
561,cape canaveral,28.4058,-80.6048,28.0,87,0,4.12,US,1723271187
562,vozhega,60.4725,40.2213,15.36,88,100,1.89,RU,1723271188
563,sterling,39.0062,-77.4286,24.12,87,75,2.06,US,1723271055
564,broken hill,-31.95,141.4333,18.03,38,10,5.42,AU,1723271056
565,jayapura,-2.5333,140.7,26.8,68,54,3.08,ID,1723271191
566,polonne,50.1242,27.5109,18.66,84,97,2.59,UA,1723271192
567,mukalla,14.5425,49.1242,30.98,63,56,1.42,YE,1723271193
568,east end,34.5507,-92.341,21.81,90,18,2.34,US,1723271194
569,pangoa,-12.1167,-73.0,18.65,99,50,1.08,PE,1723271195
570,port moresby,-9.4431,147.1797,26.28,75,54,8.54,PG,1723270922
571,dano,11.15,-3.0667,22.86,89,97,3.1,BF,1723271198
572,ketchikan,55.3422,-131.6461,19.26,88,100,3.09,US,1723271199
573,turpan,42.9333,89.1667,39.99,14,0,0.98,CN,1723271200
574,chonchi,-42.6128,-73.8092,7.82,91,87,4.03,CL,1723271201
575,tazacorte,28.629,-17.9293,21.54,86,100,7.72,ES,1723271202
576,granadero baigorria,-32.8568,-60.7175,4.92,81,32,0.89,AR,1723270640
577,zheshart,62.0731,49.5733,18.76,47,85,2.58,RU,1723271204
578,vorkuta,67.5,64.0,17.22,58,63,1.99,RU,1723271205
579,santa terezinha,-29.9002,-50.0904,10.86,81,100,9.06,BR,1723271206
580,ulsteinvik,62.3432,5.8487,14.86,84,95,3.58,NO,1723271207
581,mangaratiba,-22.9597,-44.0406,18.92,96,100,7.07,BR,1723271209
582,sola,-13.8833,167.55,26.37,78,75,3.09,VU,1723271210
